ID	year	human_pop	cover_loss	fire	urbanization	bee	caterpillar	scorpion	snake	spider
SC	2013	6588917.25	4418911.848	3779.418887	167306.1906	805	354	219	699	6134
SC	2014	6702411	4408867.114	2093.045651	170613.1301	839	511	204	714	5569
SC	2015	6815904.75	4411812.26	2852.381174	173391.7302	796	491	290	734	6200
SC	2016	6929398.5	4399589.106	9595.26482	177076.6087	679	443	286	681	5717
SC	2017	7042892.25	4389236.08	11041.90126	179643.2761	995	746	311	698	5812
SC	2018	7156386	4378516.532	6259.293406	182661.6655	889	826	378	656	5709
SC	2019	7269879.75	4348381.99	7464.636124	185301.8072	951	642	403	654	6370
SC	2020	7383373.5	4333434.181	8895.260154	187193.2827	716	229	339	698	4430
SC	2021	7496867.25	4331492.637	5859.00566	187426.6357	581	316	337	629	4241
SC	2022	7610361	4307474.919	3825.143052	190039.8856	578	319	355	579	4266
RS	2007	10542102.9	14660606.1	45156.20766	196497.943	321	246	64	1090	1682
RS	2008	10592711.6	14602518.6	18369.16976	200104.9369	310	368	67	945	1708
RS	2009	10643320.3	14543496.42	37442.45805	203430.4174	433	367	111	1087	1880
RS	2010	10693929	14366417.98	30660.85706	206636.4298	350	422	124	1017	2376
RS	2011	10709682	14186277.82	16204.24835	210308.3845	572	481	165	956	2570
RS	2012	10725435	13999809.66	29158.23306	214273.9586	595	266	164	840	2182
RS	2013	10741188	13777586.35	8591.524787	217234.8918	569	160	215	783	2527
RS	2014	10756941	13655665.53	19481.94775	219535.2671	703	293	219	812	2488
RS	2015	10772694	13573581.5	8901.473621	222260.4455	585	339	297	880	3150
RS	2016	10788447	13499491.39	24833.04115	225841.9818	437	481	246	843	2767
RS	2017	10804200	13373685.6	36506.52233	228777.8004	867	689	298	914	3620
RS	2018	10819953	13265897.08	21022.07552	231380.5559	785	486	413	787	3755
RS	2019	10835706	13031345.82	31301.31479	233715.9448	936	430	593	846	4577
RS	2020	10851459	12798019.5	42967.17433	235784.9324	801	200	466	684	3532
RS	2021	10867212	12536362.65	9886.894139	235982.6638	782	361	517	702	3314
RS	2022	10882965	12537913.5	37030.2218	238606.6819	663	323	524	609	3222
MS	2007	2337737.8	13518772.34	674441.8823	61764.35759	26	7	114	325	21
MS	2008	2374833.2	13570152.39	243401.6553	62856.33296	85	27	281	579	66
MS	2009	2411928.6	13871588.55	515551.485	63928.52027	84	32	331	582	68
MS	2010	2449024	13861332.65	418014.4392	65235.52748	95	7	393	476	78
MS	2011	2474689.75	13396527.81	134035.7841	66501.5693	150	73	681	517	116
MS	2012	2500355.5	13762534.32	625876.3527	67792.10297	249	80	1071	576	143
MS	2013	2526021.25	13786379.23	114209.1828	69111.86689	167	48	874	447	124
MS	2014	2551687	13275365.32	56872.33631	70554.19804	238	61	1089	497	117
MS	2015	2577352.75	13612925.17	256014.1285	71581.42273	255	63	1097	529	106
MS	2016	2603018.5	13607042.67	522500.3641	72550.79601	192	51	1006	527	114
MS	2017	2628684.25	13690266.65	304830.9679	73596.58536	325	84	1595	583	180
MS	2018	2654350	13284567.86	56011.60343	74700.11959	308	116	2142	487	226
MS	2019	2680015.75	13626936.52	879019.8076	75575.82411	399	112	2524	519	214
MS	2020	2705681.5	13714945.34	890289.3879	76336.45578	279	38	2895	405	191
MS	2021	2731347.25	13610202.25	832060.5614	76481.60288	318	50	3119	406	176
MS	2022	2757013	13666159.14	174146.4894	77346.72286	382	45	3390	356	194
MT	2007	2876158.9	57963242.21	4638237.354	94682.7561	21	6	372	1134	91
MT	2008	2929146.6	57634304.09	2123061.646	96642.74103	31	9	426	1157	94
MT	2009	2982134.3	57609405.22	782622.9771	98541.76305	47	14	548	1302	131
MT	2010	3035122	57520309.04	5149111.275	100464.0629	27	14	603	1430	149
MT	2011	3087082.583	57263313.35	1329274.289	102284.9196	31	8	610	1271	132
MT	2012	3139043.167	57324575.74	1884550.375	104713.2599	45	14	820	1213	153
MT	2013	3191003.75	57076429.07	990126.582	107613.3156	32	15	880	1137	164
MT	2014	3242964.333	56629057.79	1769864.155	109723.5092	61	10	623	1185	101
MT	2015	3294924.917	56468749.02	2151849.341	111628.5801	60	8	677	1293	128
MT	2016	3346885.5	56317558.05	2295757.495	113274.2769	58	5	671	1186	127
MT	2017	3398846.083	56072219.38	3017596.149	115055.298	72	6	718	1167	187
MT	2018	3450806.667	55784104.97	1243919.393	117004.4789	72	9	713	1026	146
MT	2019	3502767.25	55646110.15	2674881.053	118622.9925	149	22	1010	1305	209
MT	2020	3554727.833	55521493.85	3884929.991	120198.5281	90	28	846	1147	167
MT	2021	3606688.417	55177942.82	1854136.699	120443.2476	67	12	724	1027	134
MT	2022	3658649	54220163.5	2301023.244	122409.1446	79	6	949	878	151
GO	2007	5703910.7	10641451.14	1039634.989	152150.8896	73	14	500	687	119
GO	2008	5803869.8	10590655.55	270417.7988	154457.9067	91	17	576	925	126
GO	2009	5903828.9	10553472.47	107247.7248	157669.7581	113	44	850	963	188
GO	2010	6003788	10486940.35	1152718.747	162743.2908	103	36	807	1108	180
GO	2011	6091513.583	10445222.17	353982.8256	166138.8078	119	42	727	1251	161
GO	2012	6179239.167	10377377.25	505020.9682	169306.5815	165	41	1238	1149	257
GO	2013	6266964.75	10314482.53	97049.13421	172795.6478	139	37	1425	949	299
GO	2014	6354690.333	10257254.65	552149.9865	175728.4952	197	41	1958	944	283
GO	2015	6442415.917	10214610.87	281330.2126	178352.0772	182	29	1673	944	279
GO	2016	6530141.5	10185469.76	274901.1371	180588.1626	198	46	1973	1054	343
GO	2017	6617867.083	10160467.46	514803.282	183112.1394	288	62	2990	1230	523
GO	2018	6705592.667	10145622.71	92989.12676	186218.2363	384	112	4158	1009	639
GO	2019	6793318.25	10097807.57	511111.4846	188637.9544	483	144	4875	1144	657
GO	2020	6881043.833	10044123.1	211857.0731	190189.8633	358	116	4708	1262	667
GO	2021	6968769.417	9976505.288	492444.1726	190732.5853	500	92	4810	1364	633
GO	2022	7056495	9987127.369	212134.5818	193152.5419	598	109	5578	1034	807
DF	2007	2414455.8	232379.8819	33659.44035	50577.98922	34	9	139	134	14
DF	2008	2466357.2	231390.399	9886.313853	51201.82007	101	8	195	144	25
DF	2009	2518258.6	232575.5814	4008.420456	51883.46276	102	23	236	110	32
DF	2010	2570160	233143.2103	48103.87311	52630.77285	106	10	311	138	33
DF	2011	2590761.75	233223.1299	18884.26099	53141.43274	129	13	394	178	58
DF	2012	2611363.5	234516.9662	10220.09544	53410.7964	106	49	455	168	72
DF	2013	2631965.25	234959.7738	5413.545568	53897.64176	99	34	521	177	91
DF	2014	2652567	234027.189	13714.72324	54689.61107	104	34	569	130	86
DF	2015	2673168.75	233135.3868	7375.784932	55286.37998	74	16	550	141	70
DF	2016	2693770.5	232781.433	10075.36945	55697.38538	80	11	920	152	85
DF	2017	2714372.25	232921.6143	13352.51206	55979.70402	68	16	999	160	97
DF	2018	2734974	232041.2637	3933.761483	56711.8428	106	105	1289	161	87
DF	2019	2755575.75	231031.8278	10740.55071	57195.43311	121	127	1788	138	110
DF	2020	2776177.5	230305.8838	7258.383708	57642.50684	121	85	1946	141	138
DF	2021	2796779.25	229266.7277	16568.65632	57710.85823	142	61	2047	152	100
DF	2022	2817381	229205.8865	18766.41837	58375.10282	150	43	2243	133	114
